,nama_tempat,rating,jumlah_ulasan,alamat,link,thumbnail,kategori
0,Wisata Alam Datuk,3.9,1152,"Kwala Indah, Kec. Sei Suka, Kabupaten Batu Bara, Sumatera Utara 21256, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJwRh-z73BMzARDakEMMs6ZVo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npd2wFFS0C2EWfTN8K1XQdKIYCnFx2bpSkN2NngmqiNWUuGpxkF1zhK1wcvXxrsjtQt9YzmGYjIW6NhJjk5iifeKQy-MnrGet0EdMPBYnjaVdslxbEWX7oWQgKCT-dSpDcQZOPg=w122-h92-k-no,Wisata Alam
1,WISATA ALAM KASIH,4.3,117,"7GQC+P6V, Unnamed Road, Bandar Baru, Sibolangit, Deli Serdang Regency, North Sumatra 20354, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJma6RzY4dMTARYwiPsLKPTKU,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npYTI7u9IQyV6pd-l83k5xHjGUb8VIqbfIFLRQJd-2KFq48NOf6I7yjuS2yJRH-EVNaMuLErMd8aL5U6hJ67CwMWBCa0SKIieATFlrtX3hgqzQj3hYDhl_7nbLf1ewWqzbIIWYZdA=w138-h92-k-no,Wisata Alam
2,Taman Wisata Alam Sibolangit,4.5,486,"8HJJ+297, Sibolangit, Kec. Sibolangit, Kabupaten Deli Serdang, Sumatera Utara 20357, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJOU0cNjAZMTAReUxDRaBj-Bo,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr8LFoh1v-1n-f7cc0b1iVc1AoVfig6A3akes52mHGsM8YP18k7XALctIiNKx2kV12M96BuypsNcHL1CsDrMmEeD26sKsqOnL6gAang0mS8k3SjhJIZ63miDEMGZ5Mp7RASsRs=w163-h92-k-no,Wisata Alam
3,Wisata Alam Sikabung-kabung,4.8,37,"Ujung Deleng, Kec. Sibolangit, Kabupaten Deli Serdang, Sumatera Utara, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJdUG-KAYfMTAROsoq_4oztZM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noO_vt2xI2wnxfUbZslhpGNQNQ--FemPS96fHHkOlw0XF08cqaAiAdXQltugYBYGPEPj5KiG3oJvElceJ85C3saPTeMszzy1YPGAX7sgTDJ6bYGRu2XMJ7cvCWTZAcE4pX0oJFY=w163-h92-k-no,Wisata Alam
4,Bukit Indah Simarjarunjung,4.3,7215,"Jl. Simarjarunjung, Butu Bayu Pane Raja, Kec. Dolok Pardamean, Kabupaten Simalungun, Sumatera Utara 21163, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJzSnEJnO-MTARtXqlJzVKTpM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nouCyoRLYOCs3gnNccD79aRH80G9Ev18T75t00MagyXSgwtbmbr6kB2-8O6pHHT8mTmp0j1rjcsb2moI5rwFiLFWXGNiyWM4hl_Vhd7_GDfiWk2Hf69-KcoQkJUb3t64G4klfkL=w122-h92-k-no,Wisata Alam
5,Bukit Sipisopiso,4.5,542,"WGFP+G6F, Naga Mariah, Kec. Pamatang Silima Huta, Kabupaten Simalungun, Sumatera Utara 22173, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJVaRTkpitMTAR79lL_X-6tMA,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no6p_BKWp3OxwvrvAxlPQ-AVY5ocAWa86Z7uTaXN3Ac0Gh9hCx2jjrPxvbAB84E7W51fA-CETUU1Ci5VY0NsGCsWMiTNshYIQMGyyw6MxmuTkb11xShrw2x_3axJhicJLAjHSA=w80-h106-k-no,Wisata Alam
6,Air Terjun Sigura-Gura,4.4,277,"H833+VRV, Halado, Kec. Pintu Pohan Merant, Toba, Sumatera Utara 21274, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJJ_h_7_QEMjAROJCifE2eCKk,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr40UH6m8OkwCsMmWQqCkXOtLcv0xD1EDbQZREG5iQr1i9JyRby6EVZnFCxfE4XYQna5AiXzqs9JOLLKkDQrMrLuBTddJQDE-n8_MzhMPczkWGhAt3sA_LfhhNSL0LqYOgrAIyC=w80-h106-k-no,Wisata Alam
7,Taman Alam Lumbini Berastagi,4.4,3934,"Jl. Barusjahe, Dolat Rayat, Kec. Dolat Rayat, Kabupaten Karo, Sumatera Utara 22171, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJdeItwhADMTARB_MDpsk2008,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr5ckSP2I3iH5GFfb1aZkUc_4y0mj4Kt0eA4Zak3BWXtA1gSeU6_F8hfvPyRWgsqZplrV3E7a-tTfAdrQhPIoPxuhwP9JDTT74I2EQWDH2znbIyIDU6D-mD2oPAQI1nfLHYCiX_=w163-h92-k-no,Wisata Alam
8,Wisata Batu Katak,4.2,363,"Batu Katak, Kec, Jl. Utama, Lau Damak, Kec. Bohorok, Kabupaten Langkat, Sumatera Utara 20774, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJi6DMGaTPMDARkSUFDfQE1ZU,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nppTFpHnxGUcM0Fu3fpW95FGhhh6cMdG7GU00bsc6X1mSaC-VOzjf9UooNXasOrOpavZLSeVq83G59iQHAa4gKd7J51T-FJ97L7_3OcUw6VIgxWrnKzo3_uLgZZM0hcj1gdBgVl=w163-h92-k-no,Wisata Alam
9,Kawah Putih Dolok Tinggi Raja,3.7,493,"4QXP+VJ9, Dolok Marawa, Kec. Silau Kahean, Kabupaten Simalungun, Sumatera Utara 21157, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJsUDa63wMMTARgq-GNpZFTzY,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npRp0muqe1eLgodLBoHmvlOWeqfw1vBBocvrFqEJCYScogFK7CvJ-KUZBB-lBd6mD6LHHduxQVQ9Tnj9oAqCCrPsMk3lCZAcGg5koLIRs4IpLqGreFo6NwmbYOB63veNxvnkxEikA=w122-h92-k-no,Wisata Alam
10,Pemandian alam Bah Damanik,4.2,1752,"Ambarisan, Kec. Sidamanik, Kabupaten Simalungun, Sumatera Utara 21161, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJoQCPniuXMTARwK4S9cJk1lQ,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npnq2Zh9OHVaHy1AsPCNBGMaNNBbW7qU9ZXUmdMGn9kzfJPWMgTfGcWo59bomrsulnhQ3HEDAO4YxhVAVTnwvBlE0COt26hMDo8ombdRJ8p6tgBhTgMno13ChwY7QTe-rOuKp6t=w122-h92-k-no,Wisata Alam
11,Wisata Sawah Pematang Johar,4.3,1216,"Jl. Johar Raya Gg. Tanah Wakaf Dusun VI, Pematang Johar, Kec. Labuhan Deli, Kabupaten Deli Serdang, Sumatera Utara 20373, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJgRX8qv0zMTARklVWHQ2R1w4,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqZHQmbjm0WJIa4V0Li2kapHSvZ8eoxky7jHkkdYNmXTUpfbGz2plzr2OhIMuGpHcTMO3HexlFv01HPzPnubdDe4drSEb14ISVFl_35zUDFzeVx0ltweueObz87NmGzqZupA2Q=w199-h92-k-no,Wisata Alam
12,Air Terjun Sikulikap,4.5,2961,"6GWM+5HH, Desa Doulu Kabupaten Tanah Berastagi, Martelu, Kec. Sibolangit, Kabupaten Karo, Sumatera Utara 20357, Indonesia",https://www.google.com/maps/place/?q=place_id:ChIJx0-3Wt0cMTARKZOuQJM9aHI,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npK_n2Xu0UT5cApbfzxBQAAlEiwhpor9uy8UtBDoJo9Wo3mWs7esGSGMpcDw4Czt3B6n-n3ooiGMmz7DTY7n1Xm2dszlCzC2OwfM76M95tzmYHL8XmoI0gskPTEx0SYis4ZajDE=w163-h92-k-no,Wisata Alam
